,country,alpha3,year,continent,All categories,Biological,Earthquake,Flood,Hurricane & Tornado,Industrial,Meteor,Societal,Transportation,Wildfire
60,British Virgin Islands,VGB,2013,North America,4.0,,4.0,,,,,,,
61,British Virgin Islands,VGB,2017,North America,8.0,,,,8.0,,,,,
62,Burkina Faso,BFA,2012,Africa,15.0,,,,14.0,,,,,1.0
63,Burkina Faso,BFA,2013,Africa,2.0,,,1.0,,,,,,1.0
64,Burkina Faso,BFA,2014,Africa,1.0,1.0,,,,,,,,
65,Burkina Faso,BFA,2017,Africa,4.0,,,,4.0,,,,,
66,Cambodia,KHM,2013,Asia,1.0,,,1.0,,,,,,
67,Cambodia,KHM,2014,Asia,2.0,2.0,,,,,,,,
68,Cameroon,CMR,2017,Africa,1.0,,,,,,,1.0,,
69,Canada,CAN,2011,North America,2.0,,,,2.0,,,,,
70,Canada,CAN,2012,North America,48.0,,6.0,2.0,31.0,,1.0,,,8.0
71,Canada,CAN,2013,North America,2270.0,,15.0,1881.0,12.0,18.0,,8.0,328.0,8.0
72,Canada,CAN,2014,North America,57.0,42.0,,,5.0,,,,1.0,9.0
73,Canada,CAN,2015,North America,4.0,,1.0,,3.0,,,,,
74,Canada,CAN,2017,North America,34.0,,3.0,2.0,29.0,,,,,
75,Canada,CAN,2018,North America,3.0,,3.0,,,,,,,
76,Chad,TCD,2012,Africa,1.0,,,,1.0,,,,,
77,Chad,TCD,2014,Africa,32.0,30.0,2.0,,,,,,,
78,Chad,TCD,2015,Africa,1.0,,1.0,,,,,,,
79,Chile,CHL,2012,South America,5.0,,4.0,1.0,,,,,,
80,Chile,CHL,2013,South America,1148.0,1.0,1130.0,3.0,4.0,,3.0,2.0,2.0,3.0
81,Chile,CHL,2014,South America,5.0,4.0,,,,,,1.0,,
82,Chile,CHL,2015,South America,5.0,,4.0,,1.0,,,,,
83,Chile,CHL,2017,South America,3.0,,,,3.0,,,,,
84,Chile,CHL,2018,South America,2.0,,2.0,,,,,,,
85,China,CHN,2012,Asia,6.0,,,,6.0,,,,,
86,China,CHN,2013,Asia,40.0,,29.0,5.0,3.0,,,3.0,,
87,China,CHN,2014,Asia,1.0,,,,1.0,,,,,
88,China,CHN,2015,Asia,55.0,,55.0,,,,,,,
89,China,CHN,2017,Asia,14.0,,1.0,3.0,10.0,,,,,
90,China,CHN,2018,Asia,107.0,,107.0,,,,,,,
91,Colombia,COL,2011,South America,1.0,,,,1.0,,,,,
92,Colombia,COL,2013,South America,11.0,,2.0,4.0,2.0,,,3.0,,
93,Colombia,COL,2017,South America,7.0,,,,7.0,,,,,
94,Costa Rica,CRI,2012,North America,221.0,,220.0,,1.0,,,,,
95,Costa Rica,CRI,2013,North America,1.0,,1.0,,,,,,,
96,Costa Rica,CRI,2017,North America,2.0,,,1.0,1.0,,,,,
97,Croatia,HRV,2014,Europe,4.0,,,,4.0,,,,,
98,Cuba,CUB,2012,North America,6.0,,1.0,,5.0,,,,,
99,Cuba,CUB,2013,North America,5.0,,1.0,3.0,,,1.0,,,
100,Cuba,CUB,2017,North America,43.0,,2.0,,41.0,,,,,
101,Czechia,CZE,2011,Europe,1.0,,,,,1.0,,,,
102,Czechia,CZE,2013,Europe,3.0,,,,1.0,2.0,,,,
103,Czechia,CZE,2017,Europe,14.0,,,,14.0,,,,,
104,Czechia,CZE,2018,Europe,1.0,,1.0,,,,,,,
105,Côte d'Ivoire,CIV,2017,Africa,1.0,,,,1.0,,,,,
106,Denmark,DNK,2012,Europe,1.0,,,,1.0,,,,,
107,Denmark,DNK,2018,Europe,1.0,,1.0,,,,,,,
108,Dominica,DMA,2017,North America,1.0,,,,1.0,,,,,
109,Dominican Republic,DOM,2012,North America,1.0,,,,1.0,,,,,
110,Dominican Republic,DOM,2013,North America,6.0,,4.0,1.0,1.0,,,,,
111,Dominican Republic,DOM,2017,North America,23.0,,1.0,,22.0,,,,,
112,East Timor,,2013,,1.0,,1.0,,,,,,,
113,Ecuador,ECU,2012,South America,1.0,,,,1.0,,,,,
114,Ecuador,ECU,2013,South America,3.0,,3.0,,,,,,,
115,Ecuador,ECU,2014,South America,1.0,,,,1.0,,,,,
116,Ecuador,ECU,2017,South America,7.0,,,,7.0,,,,,
117,Egypt,EGY,2013,Africa,1.0,,,,,1.0,,,,
118,Egypt,EGY,2014,Africa,3.0,3.0,,,,,,,,
119,Egypt,EGY,2017,Africa,2.0,,,,2.0,,,,,
120,El Salvador,SLV,2012,North America,1.0,,,,1.0,,,,,
121,Ethiopia,ETH,2014,Africa,1.0,,,,1.0,,,,,
122,Falkland Islands,FLK,2011,South America,5.0,,,,5.0,,,,,
123,Fiji,FJI,2012,Oceania,2.0,,,,1.0,,,1.0,,
124,Fiji,FJI,2013,Oceania,3.0,,2.0,1.0,,,,,,
125,Fiji,FJI,2015,Oceania,8.0,,1.0,,7.0,,,,,
126,Finland,FIN,2013,Europe,1.0,,,,1.0,,,,,
127,Finland,FIN,2018,Europe,1.0,,1.0,,,,,,,
128,France,FRA,2011,Europe,3.0,,,,3.0,,,,,
129,France,FRA,2012,Europe,9.0,,,3.0,6.0,,,,,
130,France,FRA,2013,Europe,19.0,,6.0,5.0,2.0,2.0,,1.0,2.0,1.0
131,France,FRA,2014,Europe,9.0,3.0,1.0,2.0,2.0,,,,1.0,
132,France,FRA,2015,Europe,22.0,,7.0,2.0,13.0,,,,,
133,France,FRA,2017,Europe,44.0,,1.0,,41.0,,,1.0,1.0,
134,France,FRA,2018,Europe,7.0,,7.0,,,,,,,
135,Gabon,GAB,2017,Africa,1.0,,,,1.0,,,,,
136,Germany,DEU,2011,Europe,4.0,,,,4.0,,,,,
137,Germany,DEU,2012,Europe,21.0,,,,20.0,,,,,1.0
138,Germany,DEU,2013,Europe,25.0,,2.0,4.0,9.0,2.0,2.0,6.0,,
139,Germany,DEU,2014,Europe,156.0,128.0,1.0,,26.0,,1.0,,,
140,Germany,DEU,2015,Europe,5.0,,5.0,,,,,,,
141,Germany,DEU,2017,Europe,58.0,,4.0,,53.0,,,,,1.0
142,Germany,DEU,2018,Europe,9.0,,9.0,,,,,,,
143,Ghana,GHA,2012,Africa,2.0,,,,2.0,,,,,
144,Ghana,GHA,2014,Africa,6.0,6.0,,,,,,,,
145,Ghana,GHA,2017,Africa,1.0,,1.0,,,,,,,
146,Greece,GRC,2013,Europe,1.0,,,,,,,1.0,,
147,Greece,GRC,2017,Europe,2.0,,,1.0,1.0,,,,,
148,Greenland,GRL,2014,North America,1.0,1.0,,,,,,,,
149,Grenada,GRD,2017,North America,1.0,,,,1.0,,,,,
150,Guatemala,GTM,2012,North America,155.0,,154.0,,1.0,,,,,
151,Guatemala,GTM,2017,North America,3.0,,,,3.0,,,,,
152,Guinea,GIN,2014,Africa,1.0,1.0,,,,,,,,
153,Guyana,GUY,2017,South America,1.0,,,1.0,,,,,,
154,Haiti,HTI,2012,North America,9.0,,1.0,,8.0,,,,,
155,Haiti,HTI,2013,North America,2.0,,2.0,,,,,,,
156,Haiti,HTI,2017,North America,5.0,,,,5.0,,,,,
157,Haiti,HTI,2018,North America,1.0,,,,1.0,,,,,
158,Honduras,HND,2017,North America,1.0,,,,1.0,,,,,
159,Hungary,HUN,2012,Europe,1.0,,,,1.0,,,,,
160,Hungary,HUN,2014,Europe,5.0,,,1.0,4.0,,,,,
161,Hungary,HUN,2017,Europe,2.0,,,,2.0,,,,,
162,Iceland,ISL,2013,Europe,1.0,,1.0,,,,,,,
163,Iceland,ISL,2017,Europe,2.0,,1.0,,1.0,,,,,
164,India,IND,2012,Asia,8.0,,,3.0,5.0,,,,,
165,India,IND,2013,Asia,37.0,,23.0,5.0,,2.0,,6.0,,1.0
166,India,IND,2014,Asia,1933.0,3.0,51.0,1856.0,1.0,1.0,,2.0,18.0,1.0
167,India,IND,2015,Asia,133.0,,128.0,2.0,3.0,,,,,
168,India,IND,2017,Asia,10.0,,,4.0,5.0,1.0,,,,
169,India,IND,2018,Asia,227.0,,225.0,1.0,,1.0,,,,
170,Indonesia,IDN,2012,Asia,3.0,,,,3.0,,,,,
171,Indonesia,IDN,2013,Asia,40.0,,10.0,7.0,3.0,,4.0,1.0,,15.0
172,Indonesia,IDN,2014,Asia,5.0,5.0,,,,,,,,
173,Indonesia,IDN,2015,Asia,3.0,,3.0,,,,,,,
174,Indonesia,IDN,2017,Asia,3.0,,1.0,,2.0,,,,,
175,Indonesia,IDN,2018,Asia,2.0,,2.0,,,,,,,
176,Iran,IRN,2013,Asia,8.0,,6.0,,,1.0,,1.0,,
177,Iran,IRN,2014,Asia,13.0,11.0,1.0,1.0,,,,,,
178,Iran,IRN,2015,Asia,2.0,,2.0,,,,,,,
179,Iran,IRN,2017,Asia,214.0,,211.0,,1.0,1.0,1.0,,,
180,Iran,IRN,2018,Asia,2.0,,2.0,,,,,,,
181,Iraq,IRQ,2013,Asia,8.0,,1.0,,1.0,,,6.0,,
182,Iraq,IRQ,2014,Asia,2.0,,,2.0,,,,,,
183,Iraq,IRQ,2017,Asia,69.0,,69.0,,,,,,,
184,Ireland,IRL,2013,Europe,10.0,,,1.0,5.0,,,4.0,,
185,Ireland,IRL,2014,Europe,4.0,2.0,,,,,,,,2.0
186,Ireland,IRL,2017,Europe,2.0,,,,2.0,,,,,
187,Ireland,IRL,2018,Europe,1.0,,1.0,,,,,,,
188,Isle of Man,IMN,2013,Europe,1.0,,,1.0,,,,,,
189,Isle of Man,IMN,2014,Europe,1.0,1.0,,,,,,,,
190,Israel,ISR,2012,Asia,1.0,,,,1.0,,,,,
191,Israel,ISR,2013,Asia,6.0,,,,,3.0,,3.0,,
192,Israel,ISR,2014,Asia,1.0,,,,,,,,,1.0
193,Israel,ISR,2015,Asia,3.0,,2.0,,,,,1.0,,
194,Israel,ISR,2017,Asia,12.0,,8.0,,3.0,,,1.0,,
195,Israel,ISR,2018,Asia,3.0,,3.0,,,,,,,
196,Italy,ITA,2011,Europe,2.0,,,,2.0,,,,,
197,Italy,ITA,2012,Europe,125.0,,121.0,,4.0,,,,,
198,Italy,ITA,2013,Europe,68.0,,2.0,50.0,14.0,1.0,,1.0,,
199,Italy,ITA,2014,Europe,6.0,5.0,,,,,,,,1.0
200,Italy,ITA,2017,Europe,19.0,,1.0,2.0,16.0,,,,,
201,Jamaica,JAM,2012,North America,1.0,,,,1.0,,,,,
202,Jamaica,JAM,2014,North America,1.0,1.0,,,,,,,,
203,Jamaica,JAM,2017,North America,1.0,,,,1.0,,,,,
204,Japan,JPN,2011,Asia,2.0,,,,2.0,,,,,
205,Japan,JPN,2012,Asia,3.0,,,2.0,1.0,,,,,
206,Japan,JPN,2013,Asia,27.0,,23.0,1.0,,,,3.0,,
207,Japan,JPN,2014,Asia,4.0,,1.0,,3.0,,,,,
208,Japan,JPN,2015,Asia,3.0,,1.0,,2.0,,,,,
209,Japan,JPN,2017,Asia,2.0,,2.0,,,,,,,
210,Japan,JPN,2018,Asia,1.0,,1.0,,,,,,,
211,Jersey,JEY,2012,Europe,22.0,,,,21.0,,,,1.0,
212,Jersey,JEY,2017,Europe,1.0,,,,1.0,,,,,
213,Jordan,JOR,2014,Asia,3.0,2.0,,,1.0,,,,,
214,Jordan,JOR,2015,Asia,1.0,,1.0,,,,,,,
215,Jordan,JOR,2018,Asia,1.0,,1.0,,,,,,,
216,Kenya,KEN,2012,Africa,1.0,,,,1.0,,,,,
217,Kenya,KEN,2013,Africa,84.0,,,2.0,3.0,75.0,,3.0,,1.0
218,Kenya,KEN,2014,Africa,4.0,4.0,,,,,,,,
219,Kenya,KEN,2017,Africa,2.0,,,,2.0,,,,,
220,Kiribati,KIR,2015,Oceania,2.0,,,,2.0,,,,,
221,Kuwait,KWT,2017,Asia,7.0,,6.0,,1.0,,,,,
222,Kyrgyzstan,KGZ,2012,Asia,1.0,,1.0,,,,,,,
223,Kyrgyzstan,KGZ,2013,Asia,3.0,,2.0,,,,,1.0,,
224,Lebanon,LBN,2014,Asia,2.0,2.0,,,,,,,,
225,Lebanon,LBN,2017,Asia,1.0,,,,1.0,,,,,
226,Liberia,LBR,2014,Africa,40.0,40.0,,,,,,,,
227,Libya,LBY,2013,Africa,1.0,,1.0,,,,,,,
228,Luxembourg,LUX,2018,Europe,1.0,,1.0,,,,,,,
229,Malaysia,MYS,2012,Asia,5.0,,,,4.0,,,,,1.0
230,Malaysia,MYS,2013,Asia,19.0,,4.0,4.0,,2.0,6.0,1.0,,2.0
231,Malaysia,MYS,2014,Asia,5.0,1.0,,2.0,2.0,,,,,
232,Malaysia,MYS,2015,Asia,1.0,,1.0,,,,,,,
233,Malaysia,MYS,2017,Asia,1.0,,,,1.0,,,,,
234,Malaysia,MYS,2018,Asia,1.0,,1.0,,,,,,,
235,Mali,MLI,2013,Africa,1.0,,1.0,,,,,,,
236,Malta,MLT,2013,Europe,1.0,,,,1.0,,,,,
237,Malta,MLT,2014,Europe,1.0,,,,1.0,,,,,
238,Mexico,MEX,2012,North America,15.0,,11.0,,,,1.0,,,3.0
239,Mexico,MEX,2013,North America,27.0,,18.0,2.0,,7.0,,,,
240,Mexico,MEX,2014,North America,346.0,2.0,5.0,8.0,327.0,,,,1.0,3.0
241,Mexico,MEX,2015,North America,1.0,,1.0,,,,,,,
242,Mexico,MEX,2017,North America,923.0,,874.0,1.0,37.0,9.0,,1.0,1.0,
243,Mexico,MEX,2018,North America,4.0,,4.0,,,,,,,
244,Monaco,MCO,2017,Europe,1.0,,,,1.0,,,,,
245,Morocco,MAR,2012,Africa,2.0,,,,2.0,,,,,
246,Morocco,MAR,2013,Africa,5.0,,,,1.0,,,4.0,,
247,Morocco,MAR,2017,Africa,1.0,,,,1.0,,,,,
248,Myanmar,MMR,2017,Asia,5.0,,,,5.0,,,,,
249,Nepal,NPL,2013,Asia,2.0,,2.0,,,,,,,
250,Nepal,NPL,2014,Asia,19.0,,1.0,18.0,,,,,,
251,Nepal,NPL,2015,Asia,1749.0,1.0,1743.0,3.0,,2.0,,,,
252,Nepal,NPL,2018,Asia,2817.0,1.0,2809.0,2.0,1.0,2.0,,2.0,,
253,Netherlands,NLD,2012,Europe,21.0,,,2.0,19.0,,,,,
254,Netherlands,NLD,2013,Europe,31.0,,2.0,1.0,6.0,3.0,1.0,18.0,,
255,Netherlands,NLD,2014,Europe,23.0,14.0,,1.0,8.0,,,,,
256,Netherlands,NLD,2015,Europe,1.0,,,,1.0,,,,,
257,Netherlands,NLD,2017,Europe,39.0,,3.0,1.0,35.0,,,,,
258,Netherlands,NLD,2018,Europe,1.0,,1.0,,,,,,,
259,New Zealand,NZL,2012,Oceania,105.0,,1.0,1.0,103.0,,,,,
260,New Zealand,NZL,2013,Oceania,17.0,,11.0,2.0,1.0,1.0,,1.0,,1.0
261,New Zealand,NZL,2015,Oceania,44.0,,,8.0,36.0,,,,,
262,New Zealand,NZL,2017,Oceania,12.0,,1.0,2.0,9.0,,,,,
263,New Zealand,NZL,2018,Oceania,2.0,,2.0,,,,,,,
264,Nicaragua,NIC,2012,North America,2.0,,2.0,,,,,,,
265,Nicaragua,NIC,2013,North America,3.0,,3.0,,,,,,,
266,Nicaragua,NIC,2017,North America,8.0,,,,8.0,,,,,
267,Nigeria,NGA,2012,Africa,1.0,,,,1.0,,,,,
268,Nigeria,NGA,2013,Africa,1.0,,,1.0,,,,,,
269,Nigeria,NGA,2014,Africa,52.0,50.0,2.0,,,,,,,
270,Nigeria,NGA,2017,Africa,2.0,,,,2.0,,,,,
271,Niue,NIU,2013,Oceania,3.0,,2.0,,,1.0,,,,
272,North Korea,PRK,2012,Asia,1.0,,,,1.0,,,,,
273,North Korea,PRK,2013,Asia,11.0,,,,,2.0,2.0,2.0,5.0,
274,North Korea,PRK,2014,Asia,1.0,,,,,,,,,1.0
275,North Korea,PRK,2017,Asia,4.0,,,,3.0,,1.0,,,
276,North Macedonia,MKD,2017,Europe,1.0,,,,1.0,,,,,
277,Norway,NOR,2012,Europe,1.0,,,,1.0,,,,,
278,Norway,NOR,2017,Europe,3.0,,2.0,,1.0,,,,,
279,Norway,NOR,2018,Europe,1.0,,1.0,,,,,,,
280,Oman,OMN,2014,Asia,2.0,2.0,,,,,,,,
281,Pakistan,PAK,2013,Asia,751.0,,654.0,6.0,2.0,42.0,2.0,42.0,3.0,
282,Pakistan,PAK,2014,Asia,315.0,,1.0,312.0,1.0,,1.0,,,
283,Pakistan,PAK,2015,Asia,10.0,,10.0,,,,,,,
284,Pakistan,PAK,2017,Asia,2.0,,1.0,,1.0,,,,,
285,Pakistan,PAK,2018,Asia,12.0,,12.0,,,,,,,
286,Palestinian Territory,PSE,2014,Asia,2.0,,2.0,,,,,,,
287,Panama,PAN,2012,North America,3.0,,,,2.0,,,,,1.0
288,Panama,PAN,2013,North America,2.0,,1.0,1.0,,,,,,
289,Panama,PAN,2014,North America,5.0,1.0,,,1.0,,,,,3.0
290,Panama,PAN,2017,North America,3.0,,,,3.0,,,,,
291,Papua New Guinea,PNG,2012,Oceania,2.0,,2.0,,,,,,,
292,Papua New Guinea,PNG,2013,Oceania,1.0,,1.0,,,,,,,
293,Paraguay,PRY,2013,South America,1.0,,1.0,,,,,,,
294,Paraguay,PRY,2017,South America,4.0,,1.0,,3.0,,,,,
295,Peru,PER,2011,South America,1.0,,,,1.0,,,,,
296,Peru,PER,2013,South America,80.0,,75.0,,3.0,,,1.0,,1.0
297,Peru,PER,2014,South America,3.0,,1.0,,2.0,,,,,
298,Peru,PER,2017,South America,2.0,,,,2.0,,,,,
299,Philippines,PHL,2011,Asia,1.0,,,,1.0,,,,,
300,Philippines,PHL,2012,Asia,411.0,,4.0,141.0,266.0,,,,,
301,Philippines,PHL,2013,Asia,941.0,,412.0,145.0,362.0,3.0,1.0,9.0,9.0,
302,Philippines,PHL,2014,Asia,687.0,2.0,16.0,15.0,652.0,,1.0,,,1.0
303,Philippines,PHL,2015,Asia,5.0,,2.0,1.0,2.0,,,,,
304,Philippines,PHL,2017,Asia,12.0,,5.0,1.0,6.0,,,,,
305,Philippines,PHL,2018,Asia,2.0,,2.0,,,,,,,
306,Poland,POL,2012,Europe,1.0,,,,1.0,,,,,
307,Poland,POL,2013,Europe,2.0,,,,1.0,1.0,,,,
308,Poland,POL,2017,Europe,1.0,,,,1.0,,,,,
309,Poland,POL,2018,Europe,1.0,,1.0,,,,,,,
310,Portugal,PRT,2013,Europe,1.0,,1.0,,,,,,,
311,Portugal,PRT,2017,Europe,3.0,,1.0,,2.0,,,,,
312,Qatar,QAT,2014,Asia,2.0,1.0,,,1.0,,,,,
313,Qatar,QAT,2017,Asia,1.0,,1.0,,,,,,,
314,Romania,ROU,2017,Europe,1.0,,,,1.0,,,,,
315,Russia,RUS,2011,Europe,1.0,,,,1.0,,,,,
316,Russia,RUS,2012,Europe,1.0,,,,1.0,,,,,
317,Russia,RUS,2013,Europe,441.0,,7.0,,1.0,,421.0,11.0,1.0,
318,Russia,RUS,2014,Europe,1.0,1.0,,,,,,,,
319,Russia,RUS,2015,Europe,1.0,,1.0,,,,,,,
320,Russia,RUS,2017,Europe,9.0,,2.0,,5.0,,1.0,1.0,,
321,Saint Kitts and Nevis,KNA,2017,North America,4.0,,,,4.0,,,,,
322,Saint Lucia,LCA,2012,North America,1.0,,,1.0,,,,,,
323,Saudi Arabia,SAU,2014,Asia,120.0,118.0,2.0,,,,,,,
324,Saudi Arabia,SAU,2017,Asia,1.0,,,1.0,,,,,,
325,Senegal,SEN,2014,Africa,6.0,6.0,,,,,,,,
326,Sierra Leone,SLE,2014,Africa,9.0,9.0,,,,,,,,
327,Singapore,SGP,2012,Asia,1.0,,,,1.0,,,,,
328,Singapore,SGP,2013,Asia,265.0,1.0,42.0,127.0,4.0,,25.0,1.0,,65.0
329,Singapore,SGP,2014,Asia,1.0,,,1.0,,,,,,
330,Singapore,SGP,2015,Asia,8.0,,7.0,1.0,,,,,,
331,Singapore,SGP,2017,Asia,1.0,,,,1.0,,,,,
332,Singapore,SGP,2018,Asia,12.0,,12.0,,,,,,,
333,Slovenia,SVN,2013,Europe,2.0,,2.0,,,,,,,
334,Solomon Islands,SLB,2013,Oceania,3.0,,3.0,,,,,,,
335,Solomon Islands,SLB,2015,Oceania,2.0,,,,2.0,,,,,
336,Solomon Islands,SLB,2017,Oceania,1.0,,,,1.0,,,,,
337,Somalia,SOM,2012,Africa,1.0,,,,1.0,,,,,
338,South Africa,ZAF,2013,Africa,3.0,,1.0,,1.0,1.0,,,,
339,South Africa,ZAF,2014,Africa,4.0,3.0,,,1.0,,,,,
340,South Africa,ZAF,2015,Africa,1.0,,1.0,,,,,,,
341,South Africa,ZAF,2017,Africa,1.0,,,,1.0,,,,,
342,South Africa,ZAF,2018,Africa,3.0,,3.0,,,,,,,
343,South Georgia and the South Sandwich Islands,SGS,2013,South America,3.0,,3.0,,,,,,,
344,South Korea,KOR,2013,Asia,5.0,,,1.0,,,,4.0,,
345,South Korea,KOR,2014,Asia,1.0,,,,1.0,,,,,
346,South Korea,KOR,2017,Asia,2.0,,,,2.0,,,,,
347,South Sudan,SSD,2014,Africa,1.0,1.0,,,,,,,,
348,Spain,ESP,2012,Europe,2.0,,2.0,,,,,,,
349,Spain,ESP,2013,Europe,334.0,,9.0,3.0,,,1.0,5.0,315.0,1.0
350,Spain,ESP,2014,Europe,48.0,11.0,1.0,,34.0,,,,,2.0
351,Spain,ESP,2015,Europe,1.0,,,1.0,,,,,,
352,Spain,ESP,2017,Europe,45.0,,1.0,11.0,33.0,,,,,
353,Spain,ESP,2018,Europe,3.0,,3.0,,,,,,,
354,Sri Lanka,LKA,2015,Asia,1.0,,1.0,,,,,,,
355,Sri Lanka,LKA,2017,Asia,53.0,,,52.0,1.0,,,,,
356,Sri Lanka,LKA,2018,Asia,2.0,,2.0,,,,,,,
357,Sudan,SDN,2014,Africa,1.0,,,,1.0,,,,,
358,Sudan,SDN,2017,Africa,1.0,,,,1.0,,,,,
359,Sweden,SWE,2011,Europe,1.0,,,,1.0,,,,,
360,Sweden,SWE,2013,Europe,2.0,,,1.0,1.0,,,,,
361,Sweden,SWE,2014,Europe,5.0,,,5.0,,,,,,
362,Sweden,SWE,2017,Europe,1.0,,,1.0,,,,,,
363,Switzerland,CHE,2012,Europe,1.0,,,,1.0,,,,,
364,Switzerland,CHE,2013,Europe,6.0,,,,,,,6.0,,
365,Switzerland,CHE,2014,Europe,8.0,6.0,,2.0,,,,,,
366,Switzerland,CHE,2017,Europe,2.0,,1.0,,,1.0,,,,
367,Syria,SYR,2013,Asia,2.0,,,,1.0,,,1.0,,
368,Syria,SYR,2014,Asia,1.0,,,1.0,,,,,,
369,Syria,SYR,2015,Asia,1.0,,,,1.0,,,,,
370,Taiwan,TWN,2017,Asia,3.0,,,1.0,2.0,,,,,
371,Tajikistan,TJK,2013,Asia,1.0,,1.0,,,,,,,
372,Thailand,THA,2012,Asia,3.0,,,,3.0,,,,,
373,Thailand,THA,2013,Asia,4.0,,2.0,1.0,1.0,,,,,
374,Thailand,THA,2014,Asia,2.0,1.0,1.0,,,,,,,
375,Thailand,THA,2015,Asia,2.0,,2.0,,,,,,,
376,Thailand,THA,2017,Asia,2.0,,1.0,,1.0,,,,,
377,Thailand,THA,2018,Asia,2.0,,2.0,,,,,,,
